title,author,category,pages,published,format,dimensions,price,isbn,isbn_10
White Lies,Ellie Holmes,"[""Modern & Contemporary Fiction"", ""Fiction""]",464,2017,paperback,"[4, 6.5, 1.55]",28.25,9780993446344,0993446345
"Gangsta.: Cursed., Vol. 2",Kawase Kohske,"[""Manga"", ""Graphic Novels""]",192,2017,hardcover,"[8.25, 11.5, 0.64]",16.9,9781421591322,1421591324
Lady Mechanika Steampunk Coloring Book Vol 2,Joe Benitez,"[""Crafts & Handiwork"", ""Non-Fiction""]",80,2017,paperback,"[9.5, 12.0, 0.27]",24.4,9780996603058,0996603050
I Wish I Was Like You,S P Miskowski,"[""Horror & Ghost Stories"", ""Fantasy Fiction""]",252,2017,paperback,"[8.25, 11.5, 0.84]",22.25,9781945373787,1945373784
Ladivine,Marie NDiaye,"[""Modern & Contemporary Fiction"", ""Fiction""]",336,2017,"hardcover, paperback","[4, 6.75, 1.13]",16.9,9781848666047,1848666047
Reborn,Jane Ederlyn,"[""Romance"", ""Fiction""]",356,2017,hardcover,"[3.5, 5.5, 1.19]",31.25,9781682913598,1682913597
The Middle Kingdom,David Wingrove,"[""Science Fiction"", ""Fiction""]",342,2017,paperback,"[9.5, 12.0, 1.14]",27.95,9781912094691,191209469X
The Weight of Lies,Emily Carpenter,"[""Crime & Mystery"", ""Fiction""]",380,2017,hardcover,"[3.5, 5.5, 1.27]",24.25,9781477818435,147781843X
Sherlock Holmes  Book And Dvd Collection,Michelle Brachet,"[""Music"", ""Arts & Entertainment""]",96,2017,"hardcover, paperback","[5, 7.37, 0.32]",4.25,9781488928116,1488928118
The House at Old Farm,James Morrison,"[""Political & Legal Thrillers"", ""Thrillers & Suspense""]",329,2017,hardcover,"[5.37, 8, 1.1]",19.95,9781784652449,178465244X
	The Younger Man,Zoe Foster Blake,"[""Modern & Contemporary Fiction"", ""Fiction""]",304,2017,paperback,"[2.5, 4, 1.02]",19.25,9780143784906,0143784900
Sinful Words,Hesene Mete,"[""Modern & Contemporary Fiction"", ""Fiction""]",160,2017,"hardcover, paperback","[2.5, 4, 0.54]",32.25,9781524682521,1524682527
Falling Darkness,Karen Harper,"[""Adult & Contemporary Romance"", ""Romance""]",384,2017,"hardcover, paperback","[3.5, 5.5, 1.28]",10.9,9781489238504,1489238506
Appointment with Isil,Joe Giordano,"[""Action & Adventure"", ""Fiction""]",306,2017,hardcover,"[12.0, 19.0, 1.02]",35.8,9781941861349,1941861342
Beside Still Waters,Annalee Conti,"[""Religious & Spiritual Fiction"", ""Fiction""]",,2017,paperback,"[4, 6.5, 0.6]",27.75,9781620202494,1620202492
Be Your Own Backing Band,Liz Prince,"[""Graphic Novels"", ""Fiction""]",64,2017,"hardcover, paperback","[5, 7.37, 0.22]",19.25,9781945509063,1945509066
Never Saw You Coming,Kls Fuerte,"[""Modern & Contemporary Fiction"", ""Fiction""]",164,2017,hardcover,"[2.5, 4, 0.55]",48.9,9781524593834,1524593834
Sungrazer,Jay Posey,"[""Space Opera"", ""Science Fiction""]",448,2017,hardcover,"[2.5, 4, 1.5]",13.9,9780857666949,0857666940
D-Frag!,Tomoya Haruno,"[""Manga"", ""Graphic Novels""]",180,2017,paperback,"[12.0, 19.0, 0.6]",20.9,9781626924512,1626924511
The Witchwood Crown,Tad Williams,"[""Fantasy Fiction"", ""Fiction""]",400,2017,hardcover,"[9.5, 12.0, 1.34]",25.5,9781473603219,1473603218
Secret Desires,Manal Elkady,"[""Modern & Contemporary Fiction"", ""Fiction""]",130,2017,"hardcover, paperback","[4, 6.5, 0.44]",37.35,9781482877755,1482877759
The Chosen,J. R. Ward,"[""Fantasy Fiction"", ""Fiction""]",528,2017,"hardcover, paperback","[5.37, 8, 1.76]",24.95,9780349409177,034940917X
Doctor Who,Dan Abnett,"[""Graphic Novels"", ""Fiction""]",180,2017,paperback,"[7, 11, 0.6]",26.75,9781846538070,1846538076
The Exiled,Christopher Charles,"[""Crime & Mystery"", ""Fiction""]",320,2017,"hardcover, paperback","[6.5, 9.25, 1.07]",14.95,9781473611986,1473611989
Airship Enterprise,Brian Denham,"[""Graphic Novels"", ""Fiction""]",,2017,paperback,"[9.5, 12.0, 0.6]",27.75,9780930655563,0930655567
A Room Full Of Killers,Michael Wood,"[""Crime & Mystery"", ""Fiction""]",436,2017,paperback,"[5.37, 8, 1.46]",21.95,9780008222406,0008222401
Project Spacemine,Frank Pierce Hubbard Sr,"[""Science Fiction"", ""Fiction""]",258,2017,"hardcover, paperback","[5, 7.37, 0.86]",40.75,9781460298701,1460298705
The Separatists,Lis Wiehl,"[""Crime & Mystery"", ""Fiction""]",352,2017,paperback,"[2.5, 4, 1.18]",39.9,9780718037697,0718037693
The President's Gardens,Muhsin Al-Ramli,"[""Modern & Contemporary Fiction"", ""Fiction""]",352,2017,hardcover,"[2.5, 4, 1.18]",24.4,9780857056788,0857056786
Isabelle's Choice,Annemarie Brear,"[""Sagas"", ""Historical Fiction""]",202,2017,"hardcover, paperback","[12.0, 19.0, 0.68]",14.25,9781911261469,1911261460
The Last Secret of the Deverills,Santa Montefiore,"[""Modern & Contemporary Fiction"", ""Fiction""]",464,2017,"hardcover, paperback","[2.5, 4, 1.55]",24.95,9781471164095,1471164098
Vicious Circle,Wilbur Smith,"[""Thrillers & Suspense"", ""Fiction""]",560,2017,paperback,"[5, 7.37, 1.87]",28.95,9780230757622,0230757626
Murder In Morningside Heights,Victoria Thompson,"[""Crime & Mystery"", ""Fiction""]",320,2017,"hardcover, paperback","[2, 3, 1.07]",11.9,9781101987094,110198709X
Worlds of If Super Pack #3,Keith Laumer,"[""Science Fiction"", ""Fiction""]",550,2017,paperback,"[2.5, 4, 1.84]",38.95,9781515417361,1515417360
Before Everything,Victoria Redel,"[""Contemporary Women's Fiction "", ""Fiction""]",288,2017,hardcover,"[8.25, 11.5, 0.96]",38.5,9780735222571,0735222576
The Falcon at the Portal,Elizabeth Peters,"[""Crime & Mystery"", ""Fiction""]",464,2017,"hardcover, paperback","[12.0, 19.0, 1.55]",24.25,9780062686848,0062686844
The Forbidden Garden,Ellen Herrick,"[""Romance"", ""Fiction""]",400,2017,"hardcover, paperback","[3.5, 5.5, 1.34]",18.25,9780062499950,0062499955
Saving Baby Amy,Annie Claydon,"[""Adult & Contemporary Romance"", ""Romance""]",192,2017,"hardcover, paperback","[6.5, 10, 0.64]",10.95,9780263926576,0263926575
The Genesis Fleet,Jack Campbell,"[""Space Opera"", ""Science Fiction""]",420,2017,paperback,"[2.5, 4, 1.4]",14.95,9781785650406,1785650408
Mystery at Maplemead Castle,Kitty French,"[""Modern & Contemporary Fiction"", ""Fiction""]",306,2017,"hardcover, paperback","[4, 6.75, 1.02]",20.25,9781786811318,1786811316
The Handmaid's Tale,Margaret Atwood,"[""Modern & Contemporary Fiction"", ""Fiction""]",336,2017,"hardcover, paperback","[2, 3, 1.13]",16.75,9781784873189,1784873187
Whole New You,Tia Mowry,"[""Modern & Contemporary Fiction"", ""Fiction""]",320,2017,"hardcover, paperback","[12.0, 19.0, 1.07]",28.25,9781101967355,1101967358
City of the Lost,Will Adams,"[""Action & Adventure"", ""Fiction""]",496,2017,paperback,"[6.5, 9.25, 1.66]",18.75,9780007424276,0007424272
Wonder Woman Vol. 2 Year One (Rebirth),Greg Rucka,"[""Graphic Novels"", ""Fiction""]",168,2017,hardcover,"[9.5, 12.0, 0.57]",24.95,9781401268800,1401268803
Singularity,Melanie Tem,"[""Horror & Ghost Stories"", ""Fantasy Fiction""]",600,2017,"hardcover, paperback","[6, 9, 2.0]",195.5,9781613470435,1613470436
Oh Honey,Emily R. Austin,"[""Modern & Contemporary Fiction"", ""Fiction""]",140,2017,"hardcover, paperback","[6.5, 10, 0.47]",16.95,9781910688250,1910688258
Sword Art Online,Reki Kawahara,"[""Manga"", ""Graphic Novels""]",240,2017,"hardcover, paperback","[9.5, 12.0, 0.8]",20.75,9780316390439,0316390437
Marked for Life,Paul Magrs,"[""Modern & Contemporary Fiction"", ""Fiction""]",260,2017,hardcover,"[12.0, 19.0, 0.87]",27.25,9781590215258,1590215257
The Queen of Wishful Thinking,Milly Johnson,"[""Adult & Contemporary Romance"", ""Romance""]",512,2017,hardcover,"[12.0, 19.0, 1.71]",14.95,9781471161735,1471161730
Kruso,Lutz Seiler,"[""Fiction in Translation"", ""Fiction in Translation and Short Stories""]",480,2017,paperback,"[3.5, 5.5, 1.6]",25.5,9781925321845,1925321843
The Sisters of Alameda Street,Lorena Hughes,"[""Historical Fiction"", ""Fiction""]",320,2017,hardcover,"[5.37, 8, 1.07]",37.25,9781510716001,1510716009
Dark Portal,John Lawry,"[""Graphic Novels"", ""Fiction""]",,2017,paperback,"[3.5, 5.5, 0.6]",17.9,9780646966083,0646966081
The Notebook and The Wedding,Nicholas Sparks,"[""Modern & Contemporary Fiction"", ""Fiction""]",528,2017,paperback,"[2.5, 4, 1.76]",23.95,9780751568639,0751568635
The Librarians and the Mother Goose Chase,"Cox, Greg","[""Fantasy Fiction"", ""Fiction""]",288,2017,hardcover,"[7, 11, 0.96]",20.5,9780765384140,0765384140
A Life to Kill,M. R. Hall,"[""Political & Legal Thrillers"", ""Thrillers & Suspense""]",464,2017,paperback,"[9.5, 12.0, 1.55]",16.95,9780330530095,0330530097
Masks in the Tapestry,Jean Lorrain,"[""Fantasy Fiction"", ""Fiction""]",116,2017,paperback,"[8.25, 11.5, 0.39]",19.25,9781943813377,194381337X
On the Eve of Conflict,Arthur J. Moore,"[""Modern & Contemporary Fiction"", ""Fiction""]",126,2017,hardcover,"[2.5, 4, 0.42]",18.9,9781640690981,1640690980
At Long Last Love,Milly Adams,"[""Second World War Fiction"", ""War & Combat Fiction""]",300,2017,hardcover,"[3.5, 5.5, 1.0]",13.25,9781784756901,1784756903
Hatsune Miku,Shiori Asahina,"[""Manga"", ""Graphic Novels""]",1,2017,hardcover,"[6, 9, 0.01]",18.4,9781506703411,1506703410
Blood Vow,J R Ward,"[""Paranormal Romance Fiction"", ""Romance""]",480,2017,hardcover,"[12.0, 19.0, 1.6]",11.9,9780425286562,0425286568
The Leaning Girl,Benoit Peeters,"[""Graphic Novels"", ""Fiction""]",176,2017,paperback,"[6, 9, 0.59]",46.4,9781684050963,1684050960
Manga in Theory and Practice,Hirohiko Araki,"[""Manga"", ""Graphic Novels""]",280,2017,"hardcover, paperback","[5, 7.37, 0.94]",27.95,9781421594071,1421594072
Thomas Hardy and History,Fred Reid,"[""Literary Studies of Fiction"", ""History & Criticism of Literature""]",238,2017,hardcover,"[5.37, 8, 0.8]",198.75,9783319541747,3319541749
The Importance of Being Me,Caroline Grace-Cassidy,"[""Modern & Contemporary Fiction"", ""Fiction""]",256,2017,"hardcover, paperback","[2.5, 4, 0.86]",16.95,9781785301247,1785301241
Logan's Peak,,"[""Thrillers & Suspense"", ""Fiction""]",,2017,hardcover,"[6, 9, 0.6]",26.25,9780648106500,0648106500
Keep Running,Jane Carmody,"[""Short Stories"", ""Fiction in Translation and Short Stories""]",64,2017,"hardcover, paperback","[5.37, 8, 0.22]",21.5,9781740278775,1740278771
Rescued By A Ranger/Colorado Fireman,Tanya Michaels,"[""Adult & Contemporary Romance"", ""Romance""]",456,2017,hardcover,"[8.25, 11.5, 1.52]",12.75,9781489200198,1489200193
Gradle Bird,J. C. Sasser,"[""Modern & Contemporary Fiction"", ""Fiction""]",312,2017,paperback,"[2.5, 4, 1.04]",47.9,9781633932654,1633932656
Perilous Prophecy,Leanna Renee Hieber,"[""Fantasy Fiction"", ""Fiction""]",320,2017,hardcover,"[4, 6.5, 1.07]",23.75,9780765377449,0765377446
Spell On Wheels,Kate Leth,"[""Photography & Photographs"", ""Arts & Entertainment""]",136,2017,hardcover,"[12.0, 19.0, 0.46]",22.25,9781506701837,1506701833
The Unworthy Thor : Volume 1,Jason Aaron,"[""Graphic Novels"", ""Fiction""]",112,2017,paperback,"[9.5, 12.0, 0.38]",25.75,9781302906672,1302906674
Can't Afford Sex,Brooke Segarra,"[""Adult & Contemporary Romance"", ""Romance""]",42,2017,"hardcover, paperback","[8.25, 11.5, 0.15]",12.25,9781910607749,1910607746
Rushing Waters,Danielle Steel,"[""Adult & Contemporary Romance"", ""Romance""]",512,2017,paperback,"[5.37, 8, 1.71]",14.95,9780552166355,0552166359
Men Without Women,Haruki Murakami,"[""Short Stories"", ""Fiction in Translation and Short Stories""]",256,2017,"hardcover, paperback","[4, 6.75, 0.86]",26.95,9781911215370,191121537X
Re,Kanekiru Kogitsune,"[""Comic Book & Cartoon Art"", ""Illustration & Commercial Art""]",180,2017,hardcover,"[2, 3, 0.6]",20.9,9781626924826,1626924821
Assassination Classroom,Yusei Matsui,"[""Manga"", ""Graphic Novels""]",200,2017,hardcover,"[8.25, 11.5, 0.67]",12.5,9781421586410,142158641X
Smoke,Dan Vyleta,"[""Modern & Contemporary Fiction"", ""Fiction""]",560,2017,hardcover,"[5.37, 8, 1.87]",27.25,9781101910405,1101910402
Amatka,Karin Tidbeck,"[""Modern & Contemporary Fiction"", ""Fiction""]",224,2017,paperback,"[3.5, 5.5, 0.75]",25.75,9781101973950,1101973951
Wilde Like Me,Louise Pentland,"[""Modern & Contemporary Fiction"", ""Fiction""]",416,2017,"hardcover, paperback","[9.5, 12.0, 1.39]",26.4,9781785762932,1785762931
Their Double Baby Gift,Louisa Heaton,"[""Adult & Contemporary Romance"", ""Romance""]",192,2017,paperback,"[6.5, 10, 0.64]",10.95,9780263926569,0263926567
Legionnaires : Book One,Mark Waid,"[""Graphic Novels"", ""Fiction""]",384,2017,hardcover,"[6.5, 10, 1.28]",42.9,9781401268664,1401268668
Everything Is Awful And You're A Terrible Person,Daniel Zomparelli,"[""Modern & Contemporary Fiction"", ""Fiction""]",176,2017,"hardcover, paperback","[12.0, 19.0, 0.59]",19.99,9781551526751,1551526751
This Was a Man,Jeffrey Archer,"[""Historical Fiction"", ""Fiction""]",528,2017,hardcover,"[9.5, 12.0, 1.76]",14.95,9781447252269,1447252268
Deathstroke Volume 1 ,Christopher Priest,"[""Graphic Novels"", ""Fiction""]",144,2017,"hardcover, paperback","[2.5, 4, 0.48]",24.95,9781401268237,1401268234
Cormorant Run,Lilith Saintcrow,"[""Science Fiction"", ""Fiction""]",320,2017,paperback,"[4, 6.5, 1.07]",22.99,9780316277969,0316277967
Zombies,Olivier Peru,"[""Graphic Novels"", ""Fiction""]",192,2017,"hardcover, paperback","[2.5, 4, 0.64]",30.25,9781608878628,1608878627
The Death of Stalin,Fabien Nury,"[""Graphic Novels"", ""Fiction""]",120,2017,paperback,"[5.37, 8, 0.4]",30.75,9781785863400,1785863401
Well of the Winds,Denzil Meyrick,"[""Crime & Mystery"", ""Fiction""]",400,2017,paperback,"[2, 3, 1.34]",19.5,9781846973727,1846973724
Aliens Life And Death,Dan Abnett,"[""Manga"", ""Graphic Novels""]",96,2017,hardcover,"[5.37, 8, 0.32]",22.25,9781506701257,1506701256
Bridget Jones's Baby,Helen Fielding,"[""Adult & Contemporary Romance"", ""Romance""]",160,2017,paperback,"[6, 9, 0.54]",14.95,9781784706173,1784706175
Futureman,David Avidan,"[""Fiction"", ""\r\nBooks\r\n""]",144,2017,"hardcover, paperback","[5, 7.37, 0.48]",22.75,9781944700140,1944700145
A Sentimental Traitor,Michael DOBBS,"[""Modern & Contemporary Fiction"", ""Fiction""]",400,2017,"hardcover, paperback","[5, 7.37, 1.34]",27.5,9780857203670,0857203673
North and South,Elizabeth Gaskell,"[""Classic Fiction"", ""Fiction""]",656,2017,"hardcover, paperback","[4, 6.75, 2.19]",16.95,9781509827947,1509827943
His Accidental Heir/Hollywood Baby Affair,Joanne Rock,"[""Adult & Contemporary Romance"", ""Romance""]",432,2017,paperback,"[9.5, 12.0, 1.44]",12.5,9781489225214,1489225218
Flashmob,Christopher Farnsworth,"[""Modern & Contemporary Fiction"", ""Fiction""]",368,2017,paperback,"[2.5, 4, 1.23]",39.9,9780062568496,0062568493
Sleeping in the Ground,Peter Robinson,"[""Crime & Mystery"", ""Fiction""]",416,2017,hardcover,"[3.5, 5.5, 1.39]",24.5,9781444786927,144478692X
The Herb of Grace,Elizabeth Goudge,"[""Historical Romance"", ""Romance""]",256,2017,"hardcover, paperback","[3.5, 5.5, 0.86]",20.75,9781473655966,147365596X
Fire Brand/Fire Brand/Invincible,Diana Palmer,"[""Adult & Contemporary Romance"", ""Romance""]",304,2017,hardcover,"[2.5, 4, 1.02]",23.4,9781489230485,1489230483
The Destroyers,Christopher Bollen,"[""Modern & Contemporary Fiction"", ""Fiction""]",496,2017,paperback,"[7, 11, 1.66]",41.25,9780062329981,0062329987
Quite a Mountain,Jim Benton,"[""Self-Help & Personal Development"", ""Non-Fiction""]",64,2017,"hardcover, paperback","[5.37, 8, 0.22]",15.25,9781449481445,1449481442
The Unseen,Roy Jacobsen,"[""Modern & Contemporary Fiction"", ""Fiction""]",272,2017,paperback,"[5.37, 8, 0.91]",17.95,9781848666108,1848666101
Alpha Bravo Seal/Sheikh's Rescue,Carol Ericson,"[""Adult & Contemporary Romance"", ""Romance""]",408,2017,"hardcover, paperback","[6.5, 9.25, 1.36]",12.75,9781489225887,1489225889
Sword Art Online Progressive,Reki Kawahara,"[""Manga"", ""Graphic Novels""]",192,2017,paperback,"[8.25, 11.5, 0.64]",18.9,9780316469265,0316469262
Catlorian II,R L Pool,"[""Fantasy Fiction"", ""Fiction""]",562,2017,hardcover,"[6, 9, 1.88]",45.25,9781489712745,1489712747
A Fine Retribution,Dewey Lambdin,"[""Historical Fiction"", ""Fiction""]",368,2017,hardcover,"[4, 6.75, 1.23]",37.9,9781250103628,1250103622
Blood Vow,J.R. Ward,"[""Fantasy Fiction"", ""Fiction""]",448,2017,"hardcover, paperback","[6, 9, 1.5]",16.9,9780349409313,0349409315
Justice League Vol. 2 (Rebirth),Bryan Hitch,"[""Graphic Novels"", ""Fiction""]",144,2017,hardcover,"[6, 9, 0.48]",24.5,9781401268701,1401268706
Akame Ga Kill! : Volume 10,Takahiro,"[""Manga"", ""Graphic Novels""]",240,2017,paperback,"[3.5, 5.5, 0.8]",18.75,9780316469302,0316469300
I See You,Clare Mackintosh,"[""Crime & Mystery"", ""Fiction""]",384,2017,hardcover,"[5, 7.37, 1.28]",14.95,9780751554144,0751554146
Prophecy of the Kings - Book 2,David Burrows,"[""Fantasy Fiction"", ""Fiction""]",178,2017,"hardcover, paperback","[2, 3, 0.6]",17.75,9780955676062,0955676061
Darkness Whispers,Richard Chizmar,"[""Horror & Ghost Stories"", ""Fantasy Fiction""]",162,2017,"hardcover, paperback","[6.5, 10, 0.54]",19.25,9781945373879,1945373873
Undocumented,Tings Chak,"[""True Stories & Non-Fiction"", ""Graphic Novels""]",136,2017,hardcover,"[6, 9, 0.46]",34.5,9780994050762,0994050763
The Sweetest Burn,Jeaniene Frost,"[""Horror & Ghost Stories"", ""Fantasy Fiction""]",320,2017,"hardcover, paperback","[2.5, 4, 1.07]",39.9,9780373803958,0373803958
Attack on Titan Choose Your Path Adventure,HAJIME ISAYAMA,"[""Manga"", ""Graphic Novels""]",256,2017,"hardcover, paperback","[6.5, 10, 0.86]",16.4,9781632364159,1632364158
Can't Buy Me Love,Marie Force,"[""Romance"", ""Fiction""]",192,2017,"hardcover, paperback","[7, 11, 0.64]",13.25,9781946136169,1946136166
Gwendy's Button Box,Stephen King,"[""Horror & Ghost Stories"", ""Fantasy Fiction""]",171,2017,paperback,"[6, 9, 0.57]",35.25,9781587676109,1587676109
The Third Nero,Lindsey Davis,"[""Historical Mysteries"", ""Crime & Mystery""]",416,2017,"hardcover, paperback","[9.5, 12.0, 1.39]",27.5,9781473613430,1473613434
Twelve Stories of Russia,A J Perry,"[""Modern & Contemporary Fiction"", ""Fiction""]",416,2017,paperback,"[8.25, 11.5, 1.39]",66.8,9780990915072,0990915077
Without Mercy,Jefferson Bass,"[""Thrillers & Suspense"", ""Fiction""]",384,2017,hardcover,"[6.5, 10, 1.28]",16.9,9780062363213,0062363212
Secret Kingdom: Starlight Adventure,Rosie Banks,"[""Fairy Tales, Magical & Traditional Stories for Children"", ""Children's Fiction""]",208,2017,paperback,"[6.5, 10, 0.7]",10.4,9781408329184,1408329182
"BTOOOM!, Vol. 17",Junya Inoue,"[""Horror & Ghost Stories"", ""Fantasy Fiction""]",192,2017,hardcover,"[5, 7.37, 0.64]",26.75,9780316502856,0316502855
Honey,Jenna Jameson,"[""Romance"", ""Fiction""]",240,2017,"hardcover, paperback","[2.5, 4, 0.8]",24.25,9781510717848,1510717846
Stranger,David Bergen,"[""Contemporary Women's Fiction "", ""Fiction""]",272,2017,paperback,"[9.5, 12.0, 0.91]",39.75,9781468315103,1468315102
Abundant Grace,Weldon B Durham,"[""Modern & Contemporary Fiction"", ""Fiction""]",366,2017,paperback,"[6, 9, 1.22]",41.75,9781460299227,1460299221
The Cavendon Luck,Barbara Taylor Bradford,"[""Fiction"", ""\r\nBooks\r\n""]",528,2017,"hardcover, paperback","[3.5, 5.5, 1.76]",14.95,9780007503339,0007503334
Precious and Grace,Alexander McCall Smith,"[""Crime & Mystery"", ""Fiction""]",240,2017,paperback,"[12.0, 19.0, 0.8]",22.25,9781101972816,1101972815
You Will Pay,Lisa Jackson,"[""Thrillers & Suspense"", ""Fiction""]",352,2017,"hardcover, paperback","[2.5, 4, 1.18]",24.95,9781473638464,1473638461
"Goodnight, Beautiful Women",Anna Noyes,"[""Modern & Contemporary Fiction"", ""Fiction""]",224,2017,"hardcover, paperback","[3.5, 5.5, 0.75]",25.75,9780802126795,0802126790
Monstress Volume 2,Marjorie Liu,"[""Graphic Novels"", ""Fiction""]",152,2017,hardcover,"[6, 9, 0.51]",27.25,9781534300415,1534300414
Lost And Found Sisters : Wildstone Book 1,Jill Shalvis,"[""Adult & Contemporary Romance"", ""Romance""]",368,2017,"hardcover, paperback","[5.37, 8, 1.23]",24.95,9781472250438,1472250435
The Long and Short of it,Jodi Taylor,"[""Fantasy Fiction"", ""Fiction""]",320,2017,"hardcover, paperback","[5, 7.37, 1.07]",16.75,9781786152343,1786152347
The Saved,C S Fraser,"[""Fantasy Fiction"", ""Fiction""]",96,2017,hardcover,"[3.5, 5.5, 0.32]",10.9,9781320601597,1320601596
Orphan of the Stars,Pierre Christin,"[""Fantasy Fiction"", ""Fiction""]",56,2017,hardcover,"[4, 6.75, 0.19]",16.95,9781849183314,1849183317
Greatest Hits,Laura Barnett,"[""Modern & Contemporary Fiction"", ""Fiction""]",320,2017,hardcover,"[5.37, 8, 1.07]",26.4,9781474600200,1474600204
The Blue Bicycle,Bob Mustin,"[""Modern & Contemporary Fiction"", ""Fiction""]",152,2017,"hardcover, paperback","[12.0, 19.0, 0.51]",17.4,9780578191461,0578191466
The Death of a She Devil,Fay Weldon,"[""Crime & Mystery"", ""Fiction""]",352,2017,"hardcover, paperback","[4, 6.75, 1.18]",24.95,9781784979607,1784979600
Q-16 and the Eye to All Worlds,A a Jankiewicz,"[""Science Fiction"", ""Fiction""]",704,2017,hardcover,"[6.5, 10, 2.35]",49.61,9780995908017,099590801X
Club Anyone,Lou Agresta,"[""Science Fiction"", ""Fiction""]",324,2017,paperback,"[4, 6.5, 1.08]",28.75,9781614755715,161475571X
Summer Unscripted,Jen Klein,"[""Modern & Contemporary Fiction"", ""Fiction""]",320,2017,paperback,"[12.0, 19.0, 1.07]",52.75,9781524700058,1524700053
The Candidate,Lis Wiehl,"[""Modern & Contemporary Fiction"", ""Fiction""]",352,2017,"hardcover, paperback","[5.37, 8, 1.18]",27.25,9780718039097,0718039092
The Art of Magic,James Wyatt,"[""Manga"", ""Graphic Novels""]",240,2017,paperback,"[4, 6.5, 0.8]",55.25,9781421595115,1421595117
Big City Heat,David Burnsworth,"[""Crime & Mystery"", ""Fiction""]",296,2017,hardcover,"[2, 3, 0.99]",25.25,9781635111996,1635111994
Wolf Hunt,Paige Tyler,"[""Adult & Contemporary Romance"", ""Romance""]",352,2017,hardcover,"[2, 3, 1.18]",11.9,9781492642343,1492642347
Royal Treatment,Parker Swift,"[""Romance"", ""Fiction""]",288,2017,paperback,"[5.37, 8, 0.96]",29.95,9781455598106,1455598100
Doctor Who,Cavan Scott,"[""Science Fiction"", ""Fiction""]",256,2017,paperback,"[5.37, 8, 0.86]",13.25,9781785942686,1785942689
Dark Sky,Mike Brooks,"[""Space Opera"", ""Science Fiction""]",352,2017,"hardcover, paperback","[4, 6.75, 1.18]",27.25,9781481459563,1481459562
Detective Cross,James Patterson,"[""Thrillers & Suspense"", ""Fiction""]",144,2017,paperback,"[6, 9, 0.48]",5.75,9781786531001,1786531003
Moving Kings,Professor of Political Science Joshua Cohen,"[""Modern & Contemporary Fiction"", ""Fiction""]",256,2017,paperback,"[6, 9, 0.86]",38.5,9780399590184,0399590188
Spider-Woman,Dennis Hopeless,"[""Graphic Novels"", ""Fiction""]",112,2017,"hardcover, paperback","[7, 11, 0.38]",25.75,9781302903305,1302903306
"Aoharu X Machinegun, Vol. 5",Naoe,"[""Manga"", ""Graphic Novels""]",224,2017,paperback,"[5.37, 8, 0.75]",21.4,9780316435673,0316435678
The Story of Classic Crime in 100 Books,Martin Edwards,"[""Classic Crime"", ""Crime & Mystery""]",288,2017,hardcover,"[5, 7.37, 0.96]",45.25,9780712356961,0712356967
Waking Gods,Sylvain Neuvel,"[""Fiction-Related Items"", ""Fiction""]",336,2017,hardcover,"[5, 7.37, 1.13]",25.5,9780718181710,0718181719
Ghost Wolf,Linda Ann Martens,"[""Crime & Mystery"", ""Fiction""]",332,2017,paperback,"[2, 3, 1.11]",110.95,9781366787439,1366787439
The Little Teashop of Lost and Found,Trisha Ashley,"[""Romance"", ""Fiction""]",400,2017,"hardcover, paperback","[4, 6.75, 1.34]",16.95,9781784160913,1784160911
Paknadel & Trakhanov's Turncoat,Alex Paknadel,"[""Graphic Novels"", ""Fiction""]",112,2017,paperback,"[6.5, 10, 0.38]",29.95,9781608869794,1608869792
The Crow Girl,Erik Axl Sund,"[""Thrillers & Suspense"", ""Fiction""]",832,2017,hardcover,"[4, 6.75, 2.78]",16.9,9780099583684,0099583682
Single Mum Seeking...,Raye Morgan,"[""Adult & Contemporary Romance"", ""Romance""]",592,2017,"hardcover, paperback","[6, 9, 1.98]",13.25,9780263929737,0263929736
Second Chance Season,Liora Blake,"[""Romance"", ""Fiction""]",336,2017,"hardcover, paperback","[6, 9, 1.13]",25.75,9781501175350,1501175351
Red Hood And The Outlaws : Volume 1 ,Scott Lobdell,"[""Graphic Novels"", ""Fiction""]",168,2017,hardcover,"[12.0, 19.0, 0.57]",25.25,9781401268756,1401268757
Hidden School,Dan Millman,"[""The Mind"", ""Mind, Body, Spirit""]",288,2017,"hardcover, paperback","[6.5, 10, 0.96]",19.99,9781781809921,1781809925
Take Out,Margaret Maron,"[""Crime & Mystery"", ""Fiction""]",320,2017,"hardcover, paperback","[5.37, 8, 1.07]",39.9,9781455567355,1455567353
The Wind Off the Small Isles,Mary Stewart,"[""Adult & Contemporary Romance"", ""Romance""]",96,2017,hardcover,"[6, 9, 0.32]",16.95,9781473641259,147364125X
Modesty Blaise,Peter O'Donnell,"[""Graphic Novels"", ""Fiction""]",104,2017,hardcover,"[8.25, 11.5, 0.35]",22.5,9781783298600,178329860X
Final Target,John Gilstrap,"[""Political & Legal Thrillers"", ""Thrillers & Suspense""]",512,2017,hardcover,"[5.37, 8, 1.71]",16.9,9780786039784,0786039787
Hot Cop,Laurelin Paige,"[""Romance"", ""Fiction""]",288,2017,"hardcover, paperback","[6.5, 10, 0.96]",21.45,9781682306093,1682306097
Damsels In Excess,Vince Hernandez,"[""Fantasy Fiction"", ""Fiction""]",144,2017,paperback,"[2, 3, 0.48]",27.75,9781941511329,1941511325
